Brand,Model,LINK,Style,Width MM,RETAIL EU,RETAIL US
Ricmotech,WHEELpro Momo MOD30,"<a target=""_blank"" href=""https://www.ricmotech.com/genuine-momo-mod30-wheel-direct-drive-servos&amp,sa=D&amp,source=editors&amp,ust=1622247458088000&amp,usg=AFQjCNFfa9AMl4plOndTk8LDxaIlSP1JMw"">Genuine Momo MOD30 Wheel for Direct-Drive Servos (ricmotech.com)</a>",GT no screen,320,,$730.00
Innatosr,FERRARI 488 ELITE,"<a target=""_blank"" href=""https://www.innatosr.com/p7284094-ferrari-488-gte-elite.html&amp,sa=D&amp,source=editors&amp,ust=1622247458088000&amp,usg=AFQjCNEIAz9F59fcG_zXsVta_1pQW17QKw"">Ferrari 488 GTE Elite: € 599.00 (innatosr.com)</a>",prototype no screen,,600,$714.00
Ricmotech,MPI GT11A,"<a target=""_blank"" href=""https://www.ricmotech.com/realgear-wheelpro-mpi-gt11a-wheel-direct-drive&amp,sa=D&amp,source=editors&amp,ust=1622247458088000&amp,usg=AFQjCNE3SpwwRFy268Ls2tkv6NhVJhUg4g"">RealGear WHEELpro MPI GT11A Wheel for Direct-Drive Servos (ricmotech.com)</a>",GT no screen,285,,$710.00
Ricmotech,MPI GT11C,"<a target=""_blank"" href=""https://www.ricmotech.com/realgear-wheelpro-mpi-gt11c-wheel-direct-drive&amp,sa=D&amp,source=editors&amp,ust=1622247458089000&amp,usg=AFQjCNE2yKMqoWrtwGTxfyHsfsybCjOAxg"">RealGear WHEELpro MPI GT11C Wheel for Direct-Drive Servos (ricmotech.com)</a>",Formula no screen,270,,$710.00
Simagic,GT4 USB,"<a target=""_blank"" href=""https://us.sim-motion.com/products/simagic-usb-gt4-wheel&amp,sa=D&amp,source=editors&amp,ust=1622247458089000&amp,usg=AFQjCNFNfl7T8N9rrOwIGdNpKR7noRatUw"">SIMAGIC - Premium GT4 Wheel (USB) / Sim-Motion US (sim-motion.com)</a>",prototype no screen,300,,$695.00
Cube Controls,FORMULA SPORT,"<a target=""_blank"" href=""https://cubecontrols.com/product/formula-sport-classic/&amp,sa=D&amp,source=editors&amp,ust=1622247458089000&amp,usg=AFQjCNH2mlFm7MQowKWxEyzDuXQPd8y1SQ"">Formula Sport Racing Wheels. Racing eSports. Cube Controls</a>",Formula no screen,280,573,$681.87
Innatosr,ASTON MARTIN VANTAGE,"<a target=""_blank"" href=""https://www.innatosr.com/p7161416-aston-martin-vantage.html&amp,sa=D&amp,source=editors&amp,ust=1622247458089000&amp,usg=AFQjCNFjls5A7o2Y2pTS7mKxc-u2-4g7NA"">Aston Martin Vantage: € 560.00 (innatosr.com)</a>",prototype no screen,290,560,$666.40
Innatosr,AUDI R8-GT3,"<a target=""_blank"" href=""https://www.innatosr.com/p7565882-innato-gt3-elite.html&amp,sa=D&amp,source=editors&amp,ust=1622247458089000&amp,usg=AFQjCNE3n1e0EOSVWIp-wQ6l02ZB7o1LfA"">Innate GT3 - Elite: € 550.00 (innatosr.com)</a>",prototype no screen,300,550,$654.50
Innatosr,FERRARI 488-GTE,"<a target=""_blank"" href=""https://www.innatosr.com/p6323972-ferrari-488-gte.html&amp,sa=D&amp,source=editors&amp,ust=1622247458090000&amp,usg=AFQjCNH41e6d8hzOQL38tbADwzjNj7SWYw"">Ferrari 488 GTE: € 525.00 (innatosr.com)</a>",prototype no screen,,525,$624.75
Hive SIMBR,Multi,"<a target=""_blank"" href=""https://en.hivesim.com.br/&amp,sa=D&amp,source=editors&amp,ust=1622247458090000&amp,usg=AFQjCNHvC3gzsgT28NpwsDkKatiTg_GcDQ"">HOME / HIVE (hivesim.com.br)</a>",prototype no screen,310,,$550.00
Innatosr,PORSCHE GT3 CUP,"<a target=""_blank"" href=""https://www.innatosr.com/p5596499-porsche-gt3-cup.html&amp,sa=D&amp,source=editors&amp,ust=1622247458090000&amp,usg=AFQjCNGC2xAstquj_Jozh9QnxdysVF0ZuQ"">Porsche GT3 Cup: € 450.00 (innatosr.com)</a>",GT no screen,320,450,$535.50
Speed Max Racing,LAMBO SUPER TROFEO,"<a target=""_blank"" href=""https://www.speedmaxracing.it/en/steering-wheel/49-f1-rim-addon-carbon-logitech-thrustmaster-osw.html&amp,sa=D&amp,source=editors&amp,ust=1622247458090000&amp,usg=AFQjCNHz6U0rkdeV5bzc5GQUuSqxZpa7OA"">Lambo-Super Trofeo - SpeedMaxRacing</a>",prototype no screen,300,420,$499.80
Sim Racing Customs,FLYER 911 GT3,"<a target=""_blank"" href=""https://simracingcustom.es/es/volantes/24-184-volante-911-gt3.html%23/42-levas-impresion_3d_pla_plus/46-compatibilidad_fanatec_3999-no&amp,sa=D&amp,source=editors&amp,ust=1622247458091000&amp,usg=AFQjCNEuiQCAzhSpkMhmAe-Ra_RKmyGkpA"">Volante 911 GT3 (simracingcustom.es)</a>",GT no screen,320,400,$476.00
Speed Max Racing,488GT3,"<a target=""_blank"" href=""https://www.speedmaxracing.it/en/steering-wheel/20-gt1-rim-addon-carbon-clutches-logitech-thrustmaster-osw.html&amp,sa=D&amp,source=editors&amp,ust=1622247458091000&amp,usg=AFQjCNGxIXMBwv_tBAOA8wBwtNytVPftqQ"">SMR 488 GT3 - Steering Wheel - SpeedMaxRacing</a>",Formula no screen,280,390,$464.10
Sim Racing Coach,SRC-RADICAL,"<a target=""_blank"" href=""https://www.simracingcoach.com/en/contenido/volante-src-radical/&amp,sa=D&amp,source=editors&amp,ust=1622247458091000&amp,usg=AFQjCNFO7pL195zgfaCsi4kXLnzoP8C2kg"">Panel de Botones y Levas (simracingcoach.com)</a>",Formula no screen,290,379,$451.01
Sim Racing Coach,SRC-GT1,"<a target=""_blank"" href=""https://www.simracingcoach.com/en/contenido/volante-gt1/&amp,sa=D&amp,source=editors&amp,ust=1622247458092000&amp,usg=AFQjCNFjv9nUL8BAJB2pwSwMcJP-PPeLFA"">Panel de Botones y Levas (simracingcoach.com)</a>",GT no screen,320,359,$427.21
Polsimer,F74-LED,"<a target=""_blank"" href=""https://www.polsimer.pl/strona-produktu/f74l&amp,sa=D&amp,source=editors&amp,ust=1622247458092000&amp,usg=AFQjCNGGpqYDPt3z1dtunSInTh4B8Dlg0g"">F74LED Formula Wheel / Polsimer</a>",Formula no screen,290,349,$415.31
Speed Max Racing,MERC SMR GT3,"<a target=""_blank"" href=""https://www.speedmaxracing.it/en/steering-wheel/95-gt3-smr-280.html&amp,sa=D&amp,source=editors&amp,ust=1622247458092000&amp,usg=AFQjCNErovf3hGKklZ571Nspql-F-iVE4Q"">MERC-SMR GT3- Steering Wheel - SpeedMaxRacing</a>",prototype no screen,280,289,$343.91
KSS WHeels,Single Wheel,"<a target=""_blank"" href=""https://www.facebook.com/ksswheels&amp,sa=D&amp,source=editors&amp,ust=1622247458092000&amp,usg=AFQjCNHdOIOx1vK22lk9_q5X6MVMVN_fKw"">(20+) KSS Wheels / Facebook</a>",prototype no screen,310,,$300.00
Balkn,RT1,"<a target=""_blank"" href=""https://balkn.shop/products/balkan-3d-rt1&amp,sa=D&amp,source=editors&amp,ust=1622247458093000&amp,usg=AFQjCNF_VRaz4W7KeZU7Ml65t31Ub0jElw"">https://balkn.shop/products/balkan-3d-rt1</a>",prototype no screen,300,349.99 CAD,$284.00
Penguin R/C,,"<a target=""_blank"" href=""http://www.penguinrc.com/penguinrc_simulation/usb_steering_wheel_boxes.html&amp,sa=D&amp,source=editors&amp,ust=1622247458093000&amp,usg=AFQjCNG5DjpKSzVhMSExMU4vkZfsYyBQYw"">Penguin r/c Simulation - USB Steering Wheel Boxes</a>",,,,
Pokornyi Engineering,Multiple,"<a target=""_blank"" href=""https://pokornyiengineering.com/&amp,sa=D&amp,source=editors&amp,ust=1622247458093000&amp,usg=AFQjCNGiUQqSjF2JVJyORLX1vi_l3iXSRA"">Pokornyi Engineering</a>",Other,,,$40.00
